,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
-15.64,-35.4614,-18.99,-40.7104,112.3657,-70.9839,-42.5415,118.7134
-58.24,-38.269,-27.7,-37.4756,113.0981,-76.9653,-31.9824,115.4785
-51.75,-41.0156,-32.6,-34.729,80.9937,-85.9985,-19.6533,101.1353
-34.18,-40.3442,-30.6,-33.2031,39.5508,-99.4263,2.2583,90.21
-48.24,-37.6587,-25.62,-36.1938,0.1221,-108.8867,54.5654,97.5952
-52.52,-34.79,-35.86,-37.3535,-41.4429,-106.6895,78.9795,104.187
-45.6,-32.3486,-42.68,-32.8979,-64.1479,-83.1299,97.7783,94.6655
-38.86,-30.9448,-40.61,-24.7192,-70.9839,-54.3213,118.7134,68.7866
-40.46,-25.8789,-34.8,-18.7378,-85.9985,-30.9448,101.1353,49.5605
-37.87,-20.4468,-62.77,-16.2964,-108.8867,-19.9585,97.5952,33.0811
-32.61,-11.4746,-32.67,-11.2915,-83.1299,-8.7891,94.6655,15.564
-22.15,4.3945,-18.19,2.2583,-30.9448,-3.6621,49.5605,-6.5308
-10.75,13.1836,-10.61,10.1318,-8.7891,-16.5405,15.564,-17.8833
,26.062,,18.0664,,-32.7759,,-31.8604
,41.687,,40.7715,,-41.1377,,-37.6587
,59.1431,,61.2793,,-52.7344,,-53.6499
,75.9888,,80.0781,,-64.7583,,-50.4761
,82.0923,,90.21,,-64.1479,,-48.584
,90.5151,,90.21,,-54.5654,,-62.0117
,106.0791,,84.6558,,-47.0581,,-75.9277
,117.6147,,89.1724,,-45.5933,,-72.2046
,108.6426,,93.0176,,-49.6826,,-53.5889
,93.1396,,90.8203,,-47.9736,,-36.438
,74.9512,,76.7822,,-42.4194,,-12.5732
,63.0493,,64.0869,,-38.5132,,-7.2632
,63.0493,,60.9131,,-39.1846,,-13.9771
,57.4341,,60.791,,-41.4429,,-9.8267
,53.4058,,55.2368,,-41.2598,,-2.3804
,63.5986,,50.5981,,-40.7715,,-11.6577
,63.9038,,45.166,,-44.8608,,-25.0244
,49.4385,,34.3018,,-49.4385,,-31.7993
,38.6963,,28.8696,,-46.3257,,-30.7617
,27.8931,,18.7988,,-32.959,,-28.1372
,14.9536,,3.0518,,-16.4795,,-24.8413
,-0.5493,,-11.5356,,-10.3149,,-27.2827
,-22.8271,,-28.1372,,5.0049,,-33.9966
,-51.1475,,-46.9971,,11.3525,,-31.9824
,-71.9604,,-55.3589,,21.5454,,-31.6772
,-78.186,,-56.8237,,37.1094,,-38.6353
,-72.3877,,-41.5649,,54.3213,,-46.6309
,-56.9458,,-24.7803,,67.5049,,-54.9316
,-39.1235,,-42.6025,,86.0596,,-57.9834
,-34.8511,,-57.6172,,101.4404,,-53.772
,-33.4473,,-42.2974,,121.521,,-50.0488
,-29.2969,,-26.4893,,144.4092,,-46.0205
,-28.9917,,6.2256,,142.8833,,-47.4854
,-18.0054,,-1.0376,,127.1362,,-53.0396
,-5.6152,,-21.1792,,118.103,,-54.2603
,-4.1504,,-24.4751,,123.6572,,-54.2603
,-15.3198,,-17.1509,,112.3657,,-42.5415
,-37.6587,,-21.6064,,105.0415,,-32.0435
,-57.9224,,-27.771,,113.0981,,-31.9824
,-63.4155,,-28.6255,,106.5063,,-34.4849
,-51.2085,,-32.1045,,80.9937,,-19.6533
,-39.3677,,-31.6162,,57.6782,,-5.3101
,-37.5366,,-25.6958,,39.5508,,2.2583
,-41.8091,,-24.0479,,21.4844,,26.2451
,-50.9644,,-25.0854,,0.1221,,54.5654
,-52.5513,,-29.9072,,-23.9868,,71.167
,-54.7344,,-35.8887,,-41.4429,,78.9795
,-47.7583,,-40.9546,,-54.5654,,88.7451
,-45.9595,,-43.5791,,-64.1479,,97.7783
,-40.3442,,-43.5181,,-69.519,,108.2153
,-35.4614,,-40.7104,,-70.9839,,118.7134
,-38.269,,-37.4756,,-76.9653,,115.4785
,-41.0156,,-34.729,,-85.9985,,101.1353
,-40.3442,,-33.2031,,-99.4263,,90.21
,-37.6587,,-36.1938,,-108.8867,,97.5952
,-34.79,,-37.3535,,-106.6895,,104.187
,-32.3486,,-32.8979,,-83.1299,,94.6655
,-30.9448,,-24.7192,,-54.3213,,68.7866
,-25.8789,,-18.7378,,-30.9448,,49.5605
,-20.4468,,-16.2964,,-19.9585,,33.0811
,-11.4746,,-11.2915,,-8.7891,,15.564
,4.3945,,2.2583,,-3.6621,,-6.5308
,13.1836,,10.1318,,-16.5405,,-17.8833
,26.062,,18.0664,,-32.7759,,-31.8604
,41.687,,40.7715,,-41.1377,,-37.6587
,59.1431,,61.2793,,-52.7344,,-53.6499
,75.9888,,80.0781,,-64.7583,,-50.4761
,82.0923,,90.21,,-64.1479,,-48.584
,90.5151,,90.21,,-54.5654,,-62.0117
,106.0791,,84.6558,,-47.0581,,-75.9277
,117.6147,,89.1724,,-45.5933,,-72.2046
,108.6426,,93.0176,,-49.6826,,-53.5889
,93.1396,,90.8203,,-47.9736,,-36.438
,74.9512,,76.7822,,-42.4194,,-12.5732
,63.0493,,64.0869,,-38.5132,,-7.2632
,63.0493,,60.9131,,-39.1846,,-13.9771
,57.4341,,60.791,,-41.4429,,-9.8267
,53.4058,,55.2368,,-41.2598,,-2.3804
,63.5986,,50.5981,,-40.7715,,-11.6577
,63.9038,,45.166,,-44.8608,,-25.0244
,49.4385,,34.3018,,-49.4385,,-31.7993
,38.6963,,28.8696,,-46.3257,,-30.7617
,27.8931,,18.7988,,-32.959,,-28.1372
,14.9536,,3.0518,,-16.4795,,-24.8413
,-0.5493,,-11.5356,,-10.3149,,-27.2827
,-22.8271,,-28.1372,,5.0049,,-33.9966
,-51.1475,,-46.9971,,11.3525,,-31.9824
,-71.9604,,-55.3589,,21.5454,,-31.6772
,-78.186,,-56.8237,,37.1094,,-38.6353
,-72.3877,,-41.5649,,54.3213,,-46.6309
,-56.9458,,-24.7803,,67.5049,,-54.9316
,-39.1235,,-42.6025,,86.0596,,-57.9834
,-34.8511,,-57.6172,,101.4404,,-53.772
,-33.4473,,-42.2974,,121.521,,-50.0488
,-29.2969,,-26.4893,,144.4092,,-46.0205
,-28.9917,,6.2256,,142.8833,,-47.4854
,-18.0054,,-1.0376,,127.1362,,-53.0396
,-5.6152,,-21.1792,,118.103,,-54.2603
,-4.1504,,-24.4751,,123.6572,,-54.2603
,-15.3198,,-17.1509,,112.3657,,-42.5415
,-37.6587,,-21.6064,,105.0415,,-32.0435
,-57.9224,,-27.771,,113.0981,,-31.9824
,-63.4155,,-28.6255,,106.5063,,-34.4849
,-51.2085,,-32.1045,,80.9937,,-19.6533
,-39.3677,,-31.6162,,57.6782,,-5.3101
,-37.5366,,-25.6958,,39.5508,,2.2583
,-41.8091,,-24.0479,,21.4844,,26.2451
,-50.9644,,-25.0854,,0.1221,,54.5654
,-52.5513,,-29.9072,,-23.9868,,71.167
,-54.7344,,-35.8887,,-41.4429,,78.9795
,-47.7583,,-40.9546,,-54.5654,,88.7451
,-45.9595,,-43.5791,,-64.1479,,97.7783
,-40.3442,,-43.5181,,-69.519,,108.2153
,-35.4614,,-40.7104,,-70.9839,,118.7134
,-38.269,,-37.4756,,-76.9653,,115.4785
,-41.0156,,-34.729,,-85.9985,,101.1353
,-40.3442,,-33.2031,,-99.4263,,90.21
,-37.6587,,-36.1938,,-108.8867,,97.5952
,-34.79,,-37.3535,,-106.6895,,104.187
,-32.3486,,-32.8979,,-83.1299,,94.6655
,-30.9448,,-24.7192,,-54.3213,,68.7866
,-25.8789,,-18.7378,,-30.9448,,49.5605
,-20.4468,,-16.2964,,-19.9585,,33.0811
,-11.4746,,-11.2915,,-8.7891,,15.564
